period_label,year,month,sector,enquiries_millions
Sep'18,2018,9,Debt collection agencies,4.76
Sep'18,2018,9,Retailers,58.13
Sep'18,2018,9,Telecommunication providers,46.37
Dec'18,2018,12,All other entities,162.32
Dec'18,2018,12,Banks and other financial institutions,288.08
Dec'18,2018,12,Debt collection agencies,6.89
Dec'18,2018,12,Retailers,35.58
Dec'18,2018,12,Telecommunication providers,62.45
Mar'19,2019,3,All other entities,205.93
Mar'19,2019,3,Banks and other financial institutions,333.76
Mar'19,2019,3,Debt collection agencies,11.76
Mar'19,2019,3,Retailers,22.64
Mar'19,2019,3,Telecommunication providers,33.85
Jun'19,2019,6,All other entities,116.19
Jun'19,2019,6,Banks and other financial institutions,514.51
Jun'19,2019,6,Debt collection agencies,4.07
Jun'19,2019,6,Retailers,26.83
Jun'19,2019,6,Telecommunication providers,86.59
Sep'19,2019,9,All other entities,268.41
Sep'19,2019,9,Banks and other financial institutions,584.93
Sep'19,2019,9,Debt collection agencies,26.08
Sep'19,2019,9,Retailers,38.68
Sep'19,2019,9,Telecommunication providers,62.11
Dec'19,2019,12,All other entities,403.84
Dec'19,2019,12,Debt collection agencies,15.98
Dec'19,2019,12,Retailers,22.65
Dec'19,2019,12,Telecommunication providers,66.66
Mar'20,2020,3,All other entities,128.0
Mar'20,2020,3,Banks and other financial institutions,574.04
Mar'20,2020,3,Debt collection agencies,15.56
Mar'20,2020,3,Retailers,28.46
Mar'20,2020,3,Telecommunication providers,67.15
Jun'20,2020,6,All other entities,302.12
Jun'20,2020,6,Banks and other financial institutions,319.65
Jun'20,2020,6,Debt collection agencies,0.27
Jun'20,2020,6,Retailers,51.63
Jun'20,2020,6,Telecommunication providers,94.94
Sep'20,2020,9,All other entities,410.85
Sep'20,2020,9,Banks and other financial institutions,600.3
Sep'20,2020,9,Debt collection agencies,2.38
Sep'20,2020,9,Retailers,27.05
Sep'20,2020,9,Telecommunication providers,50.15
Dec'20,2020,12,All other entities,190.13
Dec'20,2020,12,Banks and other financial institutions,416.76
Dec'20,2020,12,Debt collection agencies,3.25
Dec'20,2020,12,Retailers,70.59
Dec'20,2020,12,Telecommunication providers,49.46
Mar'21,2021,3,All other entities,195.46
Mar'21,2021,3,Banks and other financial institutions,367.54
Mar'21,2021,3,Debt collection agencies,2.88
Mar'21,2021,3,Retailers,62.99
Mar'21,2021,3,Telecommunication providers,49.39
Jun'21,2021,6,All other entities,673.77
Jun'21,2021,6,Banks and other financial institutions,449.48
Jun'21,2021,6,Debt collection agencies,2.35
Jun'21,2021,6,Retailers,57.18
Jun'21,2021,6,Telecommunication providers,52.16
Sep'21,2021,9,All other entities,106.8
Sep'21,2021,9,Banks and other financial institutions,276.12
Sep'21,2021,9,Debt collection agencies,2.28
Sep'21,2021,9,Retailers,55.71
Sep'21,2021,9,Telecommunication providers,24.05
Dec'21,2021,12,All other entities,133.54
Dec'21,2021,12,Banks and other financial institutions,306.18
Dec'21,2021,12,Debt collection agencies,53.08
Dec'21,2021,12,Retailers,63.12
Dec'21,2021,12,Telecommunication providers,62.45
Mar'22,2022,3,All other entities,165.57
Mar'22,2022,3,Banks and other financial institutions,245.14
Mar'22,2022,3,Debt collection agencies,72.9
Mar'22,2022,3,Retailers,81.98
Mar'22,2022,3,Telecommunication providers,54.33
Jun'22,2022,6,All other entities,137.97
Jun'22,2022,6,Banks and other financial institutions,207.06
Jun'22,2022,6,Debt collection agencies,16.31
Jun'22,2022,6,Retailers,69.22
Jun'22,2022,6,Telecommunication providers,36.16
Sep'22,2022,9,All other entities,159.09
Sep'22,2022,9,Banks and other financial institutions,247.17
Sep'22,2022,9,Debt collection agencies,27.49
Sep'22,2022,9,Retailers,71.86
Sep'22,2022,9,Telecommunication providers,41.37
Dec'22,2022,12,All other entities,237.76
Dec'22,2022,12,Banks and other financial institutions,177.39
Dec'22,2022,12,Debt collection agencies,12.41
Dec'22,2022,12,Retailers,67.86
Dec'22,2022,12,Telecommunication providers,33.4
Mar'23,2023,3,All other entities,219.28
Mar'23,2023,3,Banks and other financial institutions,135.8
Mar'23,2023,3,Debt collection agencies,10.14
Mar'23,2023,3,Retailers,65.07
Mar'23,2023,3,Telecommunication providers,31.44
Jun'23,2023,6,All other entities,200.41
Jun'23,2023,6,Banks and other financial institutions,153.95
Jun'23,2023,6,Debt collection agencies,22.55
Jun'23,2023,6,Retailers,71.41
Jun'23,2023,6,Telecommunication providers,29.96
Sep'23,2023,9,All other entities,241.81
Sep'23,2023,9,Banks and other financial institutions,171.64
Sep'23,2023,9,Debt collection agencies,5.97
Sep'23,2023,9,Retailers,63.73
Sep'23,2023,9,Telecommunication providers,9.6
Dec'23,2023,12,All other entities,216.48
Dec'23,2023,12,Banks and other financial institutions,173.28
Dec'23,2023,12,Debt collection agencies,7.41
Dec'23,2023,12,Retailers,94.89
Dec'23,2023,12,Telecommunication providers,12.85
Mar'24,2024,3,All other entities,287.67
Mar'24,2024,3,Banks and other financial institutions,190.59
Mar'24,2024,3,Debt collection agencies,28.58
Mar'24,2024,3,Retailers,80.7
Mar'24,2024,3,Telecommunication providers,10.78
Jun'24,2024,6,All other entities,190.43
Jun'24,2024,6,Banks and other financial institutions,221.81
Jun'24,2024,6,Debt collection agencies,21.88
Jun'24,2024,6,Retailers,99.92
Jun'24,2024,6,Telecommunication providers,12.62
Sep'24,2024,9,All other entities,212.28
Sep'24,2024,9,Banks and other financial institutions,230.08
Sep'24,2024,9,Debt collection agencies,9.43
Sep'24,2024,9,Retailers,103.78
Sep'24,2024,9,Telecommunication providers,16.02
Dec'24,2024,12,All other entities,168.4
Dec'24,2024,12,Banks and other financial institutions,125.89
Dec'24,2024,12,Debt collection agencies,28.36
Dec'24,2024,12,Retailers,106.95
Dec'24,2024,12,Telecommunication providers,15.55
